 Morbidade Hospitalar do SUS - por local de internação - Brasil
Internações por Capítulo CID-10 e Ano processamento
Município: 420140 ARARANGUA
Período:Jan/2008-Set/2024
"Capítulo CID-10";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"Total"
"I.   Algumas doenças infecciosas e parasitárias";580;245;253;220;234;226;258;247;279;324;242;209;324;1015;234;307;276;5473
"II.  Neoplasias (tumores)";383;130;120;96;134;152;261;152;132;135;205;109;74;59;79;122;96;2439
"III. Doenças sangue órgãos hemat e transt imunitár";51;50;70;33;19;21;36;29;34;27;20;20;16;33;47;46;45;597
"IV.  Doenças endócrinas nutricionais e metabólicas";182;145;103;91;60;79;81;88;78;49;101;112;102;127;150;188;207;1943
"V.   Transtornos mentais e comportamentais";2;-;6;7;9;1;4;19;5;9;1;13;26;35;76;155;150;518
"VI.  Doenças do sistema nervoso";181;106;45;35;33;48;53;76;46;71;63;30;39;44;59;99;69;1097
"VII. Doenças do olho e anexos";31;37;28;16;20;15;40;7;5;1;-;4;1;-;2;4;2;213
"VIII.Doenças do ouvido e da apófise mastóide";34;27;28;24;2;8;3;7;4;9;3;5;2;2;7;25;28;218
"IX.  Doenças do aparelho circulatório";545;571;483;554;495;705;788;786;617;557;529;492;389;407;567;574;376;9435
"X.   Doenças do aparelho respiratório";618;743;619;725;758;798;909;773;887;796;743;639;501;536;1075;1030;1055;13205
"XI.  Doenças do aparelho digestivo";362;402;418;467;538;842;1109;1144;1081;765;1148;968;594;586;775;939;772;12910
"XII. Doenças da pele e do tecido subcutâneo";24;58;66;99;138;217;343;269;211;166;264;175;144;129;202;211;211;2927
"XIII.Doenças sist osteomuscular e tec conjuntivo";176;103;142;208;165;180;188;126;111;123;132;78;39;34;81;72;110;2068
"XIV. Doenças do aparelho geniturinário";407;521;443;485;425;485;769;714;669;601;742;558;331;365;585;835;666;9601
"XV.  Gravidez parto e puerpério";950;1187;1163;1286;1333;1593;1725;1827;1877;1829;1858;1992;1776;1903;2088;2109;1705;28201
"XVI. Algumas afec originadas no período perinatal";26;32;24;31;24;35;40;95;63;69;75;177;184;249;266;337;405;2132
"XVII.Malf cong deformid e anomalias cromossômicas";24;30;25;36;30;59;106;112;85;65;69;57;21;27;50;39;26;861
"XVIII.Sint sinais e achad anorm ex clín e laborat";144;57;74;101;43;85;145;136;229;159;286;393;144;202;275;221;184;2878
"XIX. Lesões enven e alg out conseq causas externas";297;759;726;747;771;1068;992;987;797;743;767;972;893;1166;1240;1180;982;15087
"XX.  Causas externas de morbidade e mortalidade";3;1;5;-;1;2;-;2;-;-;-;-;-;-;-;-;-;14
"XXI. Contatos com serviços de saúde";277;229;199;205;234;203;275;267;194;162;207;150;104;161;193;143;101;3304
"Total";5297;5433;5040;5466;5466;6822;8125;7863;7404;6660;7455;7153;5704;7080;8051;8636;7466;115121
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
