 Morbidade Hospitalar do SUS - por local de internação - Brasil
Internações por Lista Morb  CID-10 e Ano processamento
Município: 420140 ARARANGUA
Período:Jan/2008-Set/2024
"Lista Morb  CID-10";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"Total"
"01 Algumas doenças infecciosas e parasitárias";580;245;253;220;234;226;258;247;279;324;242;209;324;1015;234;307;276;5473
".. Cólera";103;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;105
".. Febres tifóide e paratifóide";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".. Amebíase";48;1;2;2;1;1;1;1;-;-;-;1;-;-;-;-;-;58
".. Diarréia e gastroenterite origem infecc presum";1;7;12;70;75;72;59;41;48;44;31;40;26;24;26;41;37;654
".. Outras doenças infecciosas intestinais";33;99;106;24;9;10;5;4;12;7;1;3;2;2;3;5;3;328
".. Tuberculose respiratória";3;-;-;9;6;2;10;12;9;19;9;9;2;2;3;9;4;108
".... Tuberculose pulmonar";3;-;-;5;3;2;4;4;5;13;5;9;1;1;3;6;1;65
".... Outras tuberculoses respiratórias";-;-;-;4;3;-;6;8;4;6;4;-;1;1;-;3;3;43
".. Outras tuberculoses";-;-;-;2;4;-;3;5;12;1;2;1;1;1;-;-;2;34
".... Tuberculose do sistema nervoso";-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;2
".... Tuberculose óssea e das articulações";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
".... Tuberculose miliar";-;-;-;2;3;-;2;5;9;1;1;-;1;-;-;-;2;26
".... Restante de outras tuberculoses";-;-;-;-;-;-;1;-;2;-;-;1;-;1;-;-;-;5
".. Hanseníase [lepra]";-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;-;-;3
".. Outros tétanos";-;-;-;-;1;1;-;1;-;-;-;-;-;1;1;2;-;7
".. Coqueluche";-;-;-;-;3;3;3;4;-;1;-;1;-;-;-;-;-;15
".. Infecção meningocócica";2;5;1;-;2;1;1;-;-;-;-;-;-;-;1;-;-;13
