grupo,subgrupo,indicador,ano,valor
DADOS GERAIS,POPULAÇÃO,População,2010,61310
DADOS GERAIS,POPULAÇÃO,População,2011,61817
DADOS GERAIS,POPULAÇÃO,População,2012,62308
DADOS GERAIS,POPULAÇÃO,População,2013,64405
DADOS GERAIS,POPULAÇÃO,População,2014,65090
DADOS GERAIS,POPULAÇÃO,População,2015,65769
DADOS GERAIS,POPULAÇÃO,População,2016,66442
DADOS GERAIS,POPULAÇÃO,População,2017,67110
DADOS GERAIS,POPULAÇÃO,População,2018,67578
DADOS GERAIS,POPULAÇÃO,População,2019,68228
DADOS GERAIS,POPULAÇÃO,População,2020,68867
DADOS GERAIS,POPULAÇÃO,População,2021,69493
DADOS GERAIS,POPULAÇÃO,População,2022,71922
DADOS GERAIS,POPULAÇÃO,População SNIS,2010,61310
DADOS GERAIS,POPULAÇÃO,População SNIS,2011,61817
DADOS GERAIS,POPULAÇÃO,População SNIS,2012,62308
DADOS GERAIS,POPULAÇÃO,População SNIS,2013,64405
DADOS GERAIS,POPULAÇÃO,População SNIS,2014,65090
DADOS GERAIS,POPULAÇÃO,População SNIS,2015,65769
DADOS GERAIS,POPULAÇÃO,População SNIS,2016,66442
DADOS GERAIS,POPULAÇÃO,População SNIS,2017,67110
DADOS GERAIS,POPULAÇÃO,População SNIS,2018,67578
DADOS GERAIS,POPULAÇÃO,População SNIS,2019,68228
DADOS GERAIS,POPULAÇÃO,População SNIS,2020,68867
DADOS GERAIS,POPULAÇÃO,População SNIS,2021,69493
DADOS GERAIS,POPULAÇÃO,População SNIS,2022,71922
DADOS GERAIS,POPULAÇÃO,População urbana,2010,50526
DADOS GERAIS,POPULAÇÃO,População urbana,2011,50944
DADOS GERAIS,POPULAÇÃO,População urbana,2012,51348
DADOS GERAIS,POPULAÇÃO,População urbana,2013,53077
DADOS GERAIS,POPULAÇÃO,População urbana,2014,53641
DADOS GERAIS,POPULAÇÃO,População urbana,2015,54201
DADOS GERAIS,POPULAÇÃO,População urbana,2016,54755
DADOS GERAIS,POPULAÇÃO,População urbana,2017,55306
DADOS GERAIS,POPULAÇÃO,População urbana,2018,55692
DADOS GERAIS,POPULAÇÃO,População urbana,2019,56227
DADOS GERAIS,POPULAÇÃO,População urbana,2020,56754
DADOS GERAIS,POPULAÇÃO,População urbana,2021,57270
DADOS GERAIS,POPULAÇÃO,População urbana,2022,0
DADOS GERAIS,MORADIA,Moradias,2010,19829
DADOS GERAIS,MORADIA,Moradias,2011,20439
DADOS GERAIS,MORADIA,Moradias,2012,21067
DADOS GERAIS,MORADIA,Moradias,2013,21715
DADOS GERAIS,MORADIA,Moradias,2014,22383
DADOS GERAIS,MORADIA,Moradias,2015,23071
DADOS GERAIS,MORADIA,Moradias,2016,23780
DADOS GERAIS,MORADIA,Moradias,2017,24511
DADOS GERAIS,MORADIA,Moradias,2018,25265
DADOS GERAIS,MORADIA,Moradias,2019,26242
DADOS GERAIS,MORADIA,Moradias,2020,0
DADOS GERAIS,MORADIA,Moradias,2021,0
DADOS GERAIS,MORADIA,Moradias,2022,26770
DADOS GERAIS,MORADIA,Moradias urbanas,2010,16408
DADOS GERAIS,MORADIA,Moradias urbanas,2011,16939
DADOS GERAIS,MORADIA,Moradias urbanas,2012,17487
DADOS GERAIS,MORADIA,Moradias urbanas,2013,18053
DADOS GERAIS,MORADIA,Moradias urbanas,2014,18638
DADOS GERAIS,MORADIA,Moradias urbanas,2015,19242
DADOS GERAIS,MORADIA,Moradias urbanas,2016,19865
DADOS GERAIS,MORADIA,Moradias urbanas,2017,20508
DADOS GERAIS,MORADIA,Moradias urbanas,2018,21172
DADOS GERAIS,MORADIA,Moradias urbanas,2019,21964
DADOS GERAIS,MORADIA,Moradias urbanas,2020,0
DADOS GERAIS,MORADIA,Moradias urbanas,2021,0
DADOS GERAIS,MORADIA,Moradias urbanas,2022,0
DADOS GERAIS,MORADIA,Densidade domiciliar,2010,3.09
DADOS GERAIS,MORADIA,Densidade domiciliar,2011,3.02
DADOS GERAIS,MORADIA,Densidade domiciliar,2012,2.96
DADOS GERAIS,MORADIA,Densidade domiciliar,2013,2.97
DADOS GERAIS,MORADIA,Densidade domiciliar,2014,2.91
DADOS GERAIS,MORADIA,Densidade domiciliar,2015,2.85
DADOS GERAIS,MORADIA,Densidade domiciliar,2016,2.79
DADOS GERAIS,MORADIA,Densidade domiciliar,2017,2.74
DADOS GERAIS,MORADIA,Densidade domiciliar,2018,2.67
DADOS GERAIS,MORADIA,Densidade domiciliar,2019,2.6
DADOS GERAIS,MORADIA,Densidade domiciliar,2020,0
DADOS GERAIS,MORADIA,Densidade domiciliar,2021,0
DADOS GERAIS,MORADIA,Densidade domiciliar,2022,2.69
DADOS GERAIS,MORADIA,Densidade domiciliar urbana,2010,3.08
DADOS GERAIS,MORADIA,Densidade domiciliar urbana,2011,3.01
DADOS GERAIS,MORADIA,Densidade domiciliar urbana,2012,2.94
DADOS GERAIS,MORADIA,Densidade domiciliar urbana,2013,2.94
DADOS GERAIS,MORADIA,Densidade domiciliar urbana,2014,2.88
DADOS GERAIS,MORADIA,Densidade domiciliar urbana,2015,2.82
DADOS GERAIS,MORADIA,Densidade domiciliar urbana,2016,2.76
DADOS GERAIS,MORADIA,Densidade domiciliar urbana,2017,2.7
DADOS GERAIS,MORADIA,Densidade domiciliar urbana,2018,2.63
DADOS GERAIS,MORADIA,Densidade domiciliar urbana,2019,2.56
DADOS GERAIS,MORADIA,Densidade domiciliar urbana,2020,0
DADOS GERAIS,MORADIA,Densidade domiciliar urbana,2021,0
DADOS GERAIS,MORADIA,Densidade domiciliar urbana,2022,0
DADOS GERAIS,RENDA,PIB,2010,991.569
DADOS GERAIS,RENDA,PIB,2011,1204.545
DADOS GERAIS,RENDA,PIB,2012,1254.563
DADOS GERAIS,RENDA,PIB,2013,1339.435
DADOS GERAIS,RENDA,PIB,2014,1510.259
DADOS GERAIS,RENDA,PIB,2015,1549.048
DADOS GERAIS,RENDA,PIB,2016,1572.795
DADOS GERAIS,RENDA,PIB,2017,1724.538
DADOS GERAIS,RENDA,PIB,2018,1833.576
DADOS GERAIS,RENDA,PIB,2019,1941.337
DADOS GERAIS,RENDA,PIB,2020,2067.725
DADOS GERAIS,RENDA,PIB,2021,2384.838
DADOS GERAIS,RENDA,PIB,2022,0
DADOS GERAIS,RENDA,PIB per capita,2010,16173.04
DADOS GERAIS,RENDA,PIB per capita,2011,19485.66
DADOS GERAIS,RENDA,PIB per capita,2012,20134.86
